"text","rating"
"Summary: This paper introduces Mixture of Thoughts (MoT), a framework to drive multiple pre-trained LLMs to perform effective collaboration. The core idea is to aggregate their internal ""thought"" representations through by adding some adapter blocks interleaved with the original transformer blocks. Besides, the paper also introduce a lightweight and learnable router to select a subset of experts for an input query. During inference, the router select a subset of experts with a primary expert, which integrates the representations of other experts and produces the final response. This work conducts experiments on five benchmarks, include both in-distribution and out-of-distribution setups. The results demonstrate that the proposed framework outperforms router-based baselines. Besides, ablation studies validat the key design choices of the MoT architecture.
Strengths: - The central concept of aggregating latent ""thoughts"" rather than just outcomes is an intuitive research area of multi-agent systems. It addresses the limitation of cross-model communication, where models/agents typically communicate with text rather than some latent representations.
- The proposed framework consistently surpasses strong router-like baselines on a diverse set of benchmarks, for both in-domain and out-of-domain setups. 
- Ablation studies systematically validate the contributions of key architectural components such as the number of interaction-layer number of depth. Ablation studies support the architectural designs of the proposed framework.
Weaknesses: - Limited Scope of Baselines: The paper's abstract and related work section astutely categorize prior multi-LLM approaches into three paradigms: (i) routing, (ii) response-level collaboration and (iii) parameter fusion. However, the selected baselines for comparison are predominantly router-based or simple output-ensembling methods (e.g., Voting, RouterDC).  The experimental evaluation would be significantly more comprehensive if it included representative baselines from the other two categories.
- Limited Validation on Thinking-Centric Tasks: The title, ""Mixture of Thoughts,"" sets a high expectation for deep collaboration on complex reasoning. While the chosen benchmarks like GSM8K are valuable, the evaluation would be more convincing if it included tasks that require longer chains of thought (e.g., AIME).
- Lack of Qualitative Analysis on Collaboration Dynamics: Since the paper seems to focus on aggregate the ""thoughts"", the paper would be strengthened by an analysis of the tought aggregation behaviors usch as cross-expert attention patterns. Such an analysis could provide direct evidence of meaningful collaboration, for instance, by showing that a primary expert dynamically attends to a math-specialized expert's hidden states when solving a math problem.
- Clarity on Training/Inference Implementation: The precise mechanics of the token-by-token generation for non-primary experts could be more explicit in the main text to improve clarity. Could the authors clarify what inputs each expert receives during training? Are all experts given the same input sentences? My current understanding is that the inputs are identical during training but differ during inference—if so, does this create a mismatch between training and inference?","Weak Reject"
"Summary: This paper proposed a novel unlearning method called Collapse of Irrelevant Representations (CIR), which collapses subspaces containing common representations, thus making the unlearning more effective and robust.
Strengths: 1. Analysis is comprehensive. The authors did a systematic analysis on the problems with current unlearning strategies, especially the study on the disruption of superficially similar facts, offering a new perspective in understanding the pitfalls of unlearning.
2. The method is novel. The authors propose CIR approach, which collapses irrelevant representations, and demonstrate promising results in terms of the unlearning quality and robustness.
Weaknesses: 1. Writing is poor. Many concepts are vague and many figures are hard to understand. Examples are listed below:

   1. In Figure 2, I don't understand why in many cases, the WMDP accuracy during fine-tuning attack never reaches the WMDP accuracy at 0.1% Disruption threshold, and how these ""WMDP accuracy at 0.1% disruption threshold"" are computed. Also, I don't understand where we can infer ""only unlearning that happened after the disruption threshold can be reverted, and unlearning that happened without disruption remains robust,"" based on Figure 2, since there are no indicators on which traces represent the revert process, and how we can know which one is reversible. Overall, this figure is messy and hard to read.
    2.  In Figure 3, I don't understand the meaning of the columns inside the activations and gradients plot. What is the meaning of ""a slide of activations""? Is it a row/column of the activation? I just feel the dimension is incorrect, since for Llama3.1-8B, the hiddenlayer feature dimension should be 4096. I also don't understand the meaning of red and green in this figure.
    3. In Figure 4, I don't understand the meaning of ""an update successfully unlearns a paraphrased fact"". How do we define a successful unlearning? I also don't understand the meaning of the scale of the color. Similarly, the shape of the matrix seems erroneous since the hidden matrix shape of Llama3.1-8B MLP layer should be (4096, 14336) (mlp.gate, mlp.up) (14336, 4096)(mlp.down)
    4. In Figure 5 and Figure 1(b), I don't understand why the curve is not injective -- sometimes one wikitext loss corresponds to multiple WMDP accuracy in the unlearning plot.
2. Experiments are oversimplified. Only evaluate on the LLama3.1 model, which is a small, outdated model. What's more, loss on wikitext is not a good metric of utility. We have a bunch of benchmarks that evaluate the model's utility from different perspectives (MCQ and open-ended). The authors should at least choose some of them (say 3 benchmarks) to strengthen their argument.","Reject"
"Summary: This paper explores the scaling laws of one-pass signSGD under the power-law random features (PLRF) model with two parameters (feature decay and target decay). It derives a four-term population risk decomposition and an explicit scaling law that depends on model size M, training steps N, and learning rate. By comparing this to SGD, the authors uncover two phenomena: drift-normalization, which accelerates training under conditions,  and noise-reshaping, which yields an N-independent noise floor and additional M dependence. Based on the scaling law, this paper theoretically shows that signSGD achieves a steeper compute-optimal slope than SGD in certain regimes, and optimal learning rate scheduling (a simplified warmup–stable–decay) further improves the slope. There are empirical experiments that confirm the theory.
Strengths: * The theoretical argument is rigorous and sound to me. The four-term risk formula decomposition mirrors prior SGD analyses and uncovers signSGD-specific properties in a clear way. This gives immediate intuition for when signSGD can help.
* The paper provides further insights, including the comprehensive phase transitions of scaling laws, analysis for compute-optimal slope, and learning rate scheduling that reflects the practice. These analyses serve as a step towards understanding this optimizer in theory. 
* The paper checks predicted slopes and compute-optimal scaling across representative regimes (Appendix C) via synthetic experiments. These empirical results validate and give us confidence in the theory.
Weaknesses: * **Limitations in Setting:** There are certain assumptions in this paper, for example, batch size = 1, diagonal covariance, one-pass training, and Gaussian sketching in the PLRF model, that limit direct generalization to more practical pipelines. The paper acknowledges some limitations such as mini-batching and momentum/Adam invariants, but these still limit the novelty to some extent, and results would be stronger with at least partial extensions (or tests) beyond this PLRF setting.

* **Discussion of Theory:** The structure of the paper could be improved. In particular, the context of the problem and proof ideas occupy too much space, while some useful contents are pushed to the appendices, and this makes the important Section 5 seem rushed. The two main effects, drift normalization and noise reshaping, should definitely be discussed in more detail. For instance, from Lines 413-424 ,the mechanism of signSGD superiority is attributed to an intricate interplay between these two effects that “creates room for a balance”. It is helpful if this could be quantified further. 

* **Adam Optimizer:** In the introduction, one claimed relevance of this work is that the state-of-the-art LLMs are trained with the Adam optimizer (rather than SGD), which can be indirectly studied through the more tractable signSGD. Since this is why signSGD scaling law helps connect theory with empirical optimizer choice in practice, there should also be more discussion on Adam in the main text. For now, Adam is not mentioned until in the conclusion, which claims that they also analyze Adam in a heuristic manner in the Appendix (while I do not think we should mention new contents in the conclusion). Given the paper’s motivation, these parts will be selectively included earlier to make the organization less detached, and it would strengthen the case to include at least one non-PLRF synthetic setting for Adam, too. 

Overall, I think this paper is sound. My main concerns are in possible preliminary extension from this setting and issues in presentation.","Weak Accept"
"Summary: This paper introduces OpenPhase, a framework for modeling liquid–liquid phase separation (LLPS) in multicomponent biomolecular systems.  The authors compile datasets combining proteins, RNAs, and DNAs with detailed experimental conditions and define three tasks: predicting phase outcomes, inferring conditions, and designing phase-separating systems.  They propose specialized models for each task, including a transformer (Condformer), a conditional VAE, and a diffusion-based generator.  OpenPhase achieves strong results across benchmarks and provides the first condition-aware platform for predictive and generative modeling of LLPS.
Strengths: This paper addresses the problem of liquid–liquid phase separation in biomolecular systems.  
The authors provide well-curated, publicly available datasets that integrate experimental conditions, which is a valuable contribution to the community.  
While the proposed models are relatively simple, they serve as a solid baseline and demonstrate practical utility for condition-aware phase behavior modeling and protein design.
Weaknesses: 1. The proposed gated transformer architecture is not particularly novel and closely follows existing conditional transformer designs. The gating mechanism is a straightforward modification commonly used in multimodal and conditional attention frameworks.

2. All the trained models rely on standard, well-established architectures rather than introducing new methodological ideas. The Condformer is a basic transformer variant, the branched cVAE is a conventional conditional autoencoder with a classification branch, and the diffusion model directly builds upon prior protein generative models like PRO-LDM and MapDiff with minimal adaptation. Their main contribution lies in applying these existing methods to the new dataset rather than advancing model design or theory.","Weak Accept"
"Summary: This paper proposes a novel lightweight and interpretable Transformer-like architecture for traffic forecasting by unrolling a mixed-graph-based optimization algorithm. Specifically, it first learns an undirected graph $G_u$ and a directed graph $G_d$ to capture spatial and sequential information respectively, then designs three smoothness prior GLR for $G_u$, and DGLR, DGTV for $G_d$ to predict the future samples. An ADMM-based optimization algorithm is then unrolled into neural layers for end-to-end parameter and graph learning, where the graph-learning modules play a self-attention-like role with far fewer parameters Extensive experiments demonstrate its effectiveness in traffic forecast performance with fewer parameters.
Strengths: S1. This paper creatively constructs a mixed graph to model spatial-temporal data. Meanwhile, it proposes a novel regularization terms directed graph Laplacian regularizer (DGLR) and directed graph total variation (DGTV) for directed graphs, which resolves the issue that the asymmetric Laplacian of a directed graph is difficult to analyze spectrally.

S2. This paper has a real small parameter count compared to state-of-the-art models, as shown in Table 1. Meanwhile, its prediction performance remains highly competitive.
Weaknesses: W1. This paper needs further polishing its statement. For instance, in the introduction, the jump from discussing model-based methods directly to DL-based methods is abrupt.

W2. The non-negative weights limit the model's expressive power, as it cannot directly model inhibitory relationships between nodes, unable to match the performance of the real Transformer.

W3. Although this paper provides the model parameters, it does not specifically analyze the computational complexity of the training or inference stages","Weak Reject"
"Summary: This paper studies the adversarial attacks on tensor ring decomposition. It is first observed that the classical symmetric min-max method (ATTR) may even improve the performance of the model under certain conditions. Therefore, it motivates to development of the asymmetric method based on the bilevel optimization. Since the proposed method requires complicated gradient computation with backpropagation, a simplified version of the algorithm is proposed by deactivating some variables’ gradients (FAG-AdaTR). Experiments on color image decomposition attacks, video decomposition attacks, tensor completion, and recommendation systems are presented to show the effectiveness of the proposed method.
Strengths: (1) The writing is clear, and readers can easily follow.

(2) The experiments are comprehensive. It covers various tensor data, including color images, videos, recommendation systems, and general tensor data.
Weaknesses: (1) I do not quite agree that the max-min problem (5) is symmetric and the bilevel form (10) is asymmetric. In minimax optimization, if we do not assume the Nash equilibrium (or some other conditions such as a strongly convex and strongly concave objective), the order of min and max cannot be changed. Therefore, (5) is asymmetric. I mean (5) is exactly equivalent to (10) if the order of min and max cannot be changed. In (5), given E, G is selected to minimize the objective. Therefore, the main motivation and claims in this paper are not correct from a minimax optimization perspective.

(2) In your algorithm, you deactivate many variables’ gradients (w.r.t. E) for simplifying the computation. However, does it still guarantee the convergence of the algorithm? Is the simplified gradient still a descent direction? Is it possible that after you mask some gradients, the simplified gradient is not valid for the problem? I am suspecting the effectiveness of the simplified algorithm, at least theoretically. 

(3) The paper lacks a theoretical analysis of the algorithm (FAG-AdaTR). Is your algorithm convergent? If yes, what kind of point does it converge to?","Weak Reject"
"Summary: This paper introduces a novel reinforcement learning (RL) method for non-stationary domains. In particular, it is considered the setting in which the agent interacts with a sequence of MPDs, and the evolution of such MPDs is determined by a history-dependent stochastic process. To tackle this setting, the authors propose to track task  evolution via a Wavelet representation network. The proposed method, named WISDOM, is based on a Soft Actor-Critic (SAC) agent that also learns a wavelet representation network, which predicts a vector representation of the current task, and is optimized via a TD-learning loss combined with an auto-regressive loss function. The paper introduces two theorems that characterize policy performance with respect to wavelet-domain features. The experiments considered Meta-World, Type-1 Diabetes, and MuJoCo benchmarks, and compared the proposed approach with many competing methods in non-stationary RL.
Strengths: - The idea of using a Wavelet representation to track non-stationary in RL is interesting and novel.
- The experiments are extensive, considered challenging tasks, and have evaluated many competing methods. Moreover, the authors provided the source code for reproducing the experiments.
Weaknesses: - The paper can benefit from a more rigorous/precise mathematical notation in some parts of the text (see Questions below).
- The description and discussion of Theorem 3 require significant improvements in terms of clarity. For instance, the variable $J_{WISDOM}$ is not defined, nor is it clearer what is meant by its *iterated history policy*.","Accept"
"Summary: This paper studies Bellman Residual Minimization (BRM) for offline RL. Using a bi-conjugate reformulation, minimizing MSBE is turned into a Polyak--Łojasiewicz (PL)–strongly-concave minimax problem that can be solved by SGDA, thereby avoiding the double sampling problem. The analysis couples two SGDA runs on neighboring datasets and proves on-average algorithmic stability with an $O(1/n)$ rate, without requiring variance reduction or independence assumptions. By stability-to-generalization transfer, the work bounds (i) the gap between population and empirical Bellman-residual risks and (ii) the population Bellman-residual risk of the SGDA output.
Strengths: - Without requiring independence assumptions on the sample indices nor variance reduction, the paper establishes an $O(1/n)$ on-average stability and, via stability-to-generalization transfer, an $O(1/n)$ generalization bound for BRM, doubling the exponent from $1/2$ to $1$ over prior work.
    
- The population excess risk is cleanly decomposed into an optimization term that decays with training and a sample-size–dominated statistical term, naturally aligning with standard minibatch SGDA.
    
- All assumptions are stated explicitly and clearly, making the analysis easy to follow.
Weaknesses: - It would be helpful to add illustrative examples and comparisons to aid understanding (see Q 1 and 2).


- Sections~2 and 3 include substantial repetition of well-known material, and the exposition feels overly long. For example, the standard SGDA routine could be moved to the appendix for brevity.","Weak Accept"
"Summary: This paper deals with the problem of time-series forecasting and proposes a method for augmenting training time-series examples. More specifically, the proposed method first trains a variational masked autoencoder (VMAE) with the original training examples and then chooses promising training examples that can be a source of augmentation. The proposed example selection introduces a training scheme inspired by a policy gradient method, and its reward is defined by variance of predictions obtained from a group of time-series estimators. In this framework, the distribution parameter predictor of the VMAE can be regarded as a ""policy network"" in the context of reinforcement learning.
Strengths: S1. The problem dealt with in this paper is significant. Optimizing data augmentation schemes is one of the significant components for obtaining sufficient prediction performances in low-resource regimes.

S2. The strategy of the proposed method is reasonable and technically sound. Reinforcement learning is one of the standard approaches for automatically optimizing data augmentation schemes. The proposed method incorporates the idea of REINFORCE, one of the standard policy gradient methods, into this optimization. Also, focusing on prediction variances as a measure for ""goodness"" in data augmentation is reasonable.

S3. This paper is well-written and easy to follow.
Weaknesses: W1. Novelty of the proposed method against several previous methods should be justified literally and hopefully its effectiveness should have been demonstrated by experimental comparisons. One of the key ideas of the proposed method is to choose promising training examples useful for data augmentation, which have already been explored in the following papers:

  - [Yang+ ICCV2025 https://arxiv.org/abs/2506.21037] (Note: This paper was officially published AFTER the ICLR2026 deadline, which indicates that this paper should not be a source of loss of novelty.)
  - [Huang+ IEEE TGRS 2024 https://ieeexplore.ieee.org/document/10714383]

Although I understand that details of the proposed method is different from those of the above previous methods, novelty of the proposed method and its effectiveness should have been justified.

W2. I could not understand the reason why only the proposed method has standard deviation in the experimental results. Every augmenter has randomness, which indicates that experimental results can be variable according to the randomness. Presenting the deviation is significant for understanding statistical significance for the presented experimental results.","Weak Reject"
"Summary: The paper presents LLM-CARe, a large-language-model framework for generating synthetic electronic medical records (EMRs) without using real patient data. It employs three agents—a Critic, Adviser, and Reviser—that work in a cyclic refinement loop to iteratively improve data quality. The process operates in three stages: corpus-level alignment with real-world demographic and diagnostic distributions, section-level completion of clinical fields, and document-level consistency of medical logic. Experiments on a large de-identified EMR dataset show that LLM-CARe surpasses traditional GAN- and LLM-based baselines such as MedSyn in both intrinsic quality metrics and downstream predictive tasks, including diagnosis, examination, and treatment recommendation
Strengths: S1. The authors build an appealing three-agent loop (Critic – Adviser – Reviser) and wrap it in a staged pipeline.

S2. The authors perform extensive evaluations, including both intrinsic “LLM-as-a-judge” metrics and downstream predictive tasks, and even conduct a clinician study to validate alignment between automatic and human assessments. 

S3. The experiments are thorough and cover several baselines across different LLM backbones, providing a thorough empirical picture
Weaknesses: W1. The claimed “clinical quality principles” are human-defined checklists, not learned constraints; therefore the method is rule-driven text refinement, not genuine reasoning or data synthesis.

W2. The multi-agent design seems overcomplicated for its marginal gains, with no comparison to a single self-refining LLM.

W3. The approach relies on static, non-temporal EMR data, which limits realism and generalizability to real clinical settings.

W4. The definition of “content completeness” assumes that every section should be fully filled, which may contradict real-world medical documentation patterns where incompleteness reflects diagnostic uncertainty or missing data. Have the authors tested whether enforcing strict completeness might produce clinically implausible or overly templated records?","Weak Reject"
